Year,Mean_Precip
1961,0.9
1962,0.7
1963,1.0
1964,0.8
1965,0.7
1966,0.9
1967,0.7
1968,0.8
1969,0.9
1970,0.8
1971,1.1
1972,0.7
1973,0.6
1974,0.8
1975,0.7
1976,0.8
1977,0.8
1978,0.9
1979,0.8
1980,0.7
1981,0.8
1982,0.6
1983,1.0
1984,1.1
1985,0.8
1986,1.0
1987,0.8
1988,1.3
1989,0.8
1990,1.1
1991,0.9
1992,1.4
1993,1.1
1994,1.4
1995,0.9
1996,0.8
1997,1.1
1998,1.2
1999,0.9
2000,1.5
2001,1.0
2002,1.2
2003,1.1
2004,0.8
2005,1.2
2006,1.6
2007,1.0
2008,1.1
2009,0.7
2010,0.9
2011,0.8
2012,1.2
2013,1.0
2014,1.2
2015,1.7
2016,0.8
2017,1.2
